Resource,Endpoint,API Fields,Local Models,Local Fields,Status,Notes
countries,/countries,"name, code, flag",CountryCatalog,"nameEn, nameHe, code, flagUrl",stored,Full country catalog mapping used by the app.
seasons,/leagues/seasons,year,Season,year plus derived name/startDate/endDate,stored,The API only returns the year. We store that value locally and derive display dates.
leagues,/leagues?country={country}&season={season},"league.id, league.name, league.logo, league.type, country.name","Competition, CompetitionSeason","apiFootballId, nameEn, nameHe, logoUrl, type, countryEn, countryHe",stored,CompetitionSeason now also keeps the season-specific payload in JSON.
competitions,none in fetch route,n/a,CompetitionSeason,completion marker only,local_only,"This is an internal job step, not a separate API-Football service."
teams,/teams?league={leagueId}&season={seasonYear},"team.id, team.name, team.code, team.country, team.founded, team.logo",Team,"apiFootballId, nameEn, nameHe, code, countryEn, countryHe, founded, logoUrl",stored,Core team identity is saved. Logo may be replaced by a locally stored copy.
teams,/teams?league={leagueId}&season={seasonYear},"venue.name, venue.city",Team,"stadiumEn, stadiumHe, cityEn, cityHe, venueId",stored,Team rows keep a venue reference plus denormalized venue and city labels.
teams,/teams?league={leagueId}&season={seasonYear},coach and richer team metadata,Team,"coach/coaches via lineup sync, plus full team+venue payload in additionalInfo",stored,Team rows now also keep the full source payload locally in JSON.
venues,nested venue payloads from /teams and /fixtures,"id, name, address, city, country, capacity, surface, image",Venue,"apiFootballId, nameEn, nameHe, addressEn, addressHe, cityEn, cityHe, countryEn, countryHe, capacity, surface, imageUrl",stored,Venue catalog is mapped well from both team and fixture payloads.
players,/players?team={teamId}&season={seasonYear}&page={page},"player.id, player.name, player.photo, games.number, games.position",Player,"apiFootballId, nameEn, nameHe, photoUrl, jerseyNumber, position, teamId, canonicalPlayerId",stored,Only the subset needed for roster identity is written today.
players,/players?team={teamId}&season={seasonYear}&page={page},"player.firstname, player.lastname",Player,"firstNameEn, firstNameHe, lastNameEn, lastNameHe",stored,These identity fields are now populated during player sync.
players,/players?team={teamId}&season={seasonYear}&page={page},"player.birth.date, player.birth.place, player.birth.country, player.nationality, player.age, player.height, player.weight, player.injured",Player,"birthDate, birthPlaceEn/He, birthCountryEn/He, nationalityEn/He, age, height, weight, isInjured, additionalInfo",stored,Richer player profile data is now persisted locally.
fixtures,/fixtures?league={leagueId}&season={seasonYear},"fixture.id, fixture.date, fixture.referee, fixture.venue.name, league.round, goals.home, goals.away, fixture.status.short",Game,"apiFootballId, externalRef, dateTime, refereeEn, refereeHe, refereeId, venueNameEn, venueNameHe, venueId, roundNameEn, roundNameHe, homeScore, awayScore, status",stored,Core fixture state is mapped to Game.
fixtures,/fixtures?league={leagueId}&season={seasonYear},"fixture.timestamp, timezone, periods, status.long, status.elapsed, score breakdown",Game,"timestamp, timezone, statusShort, statusLong, elapsed, extra, additionalInfo",stored,Detailed fixture state is now stored directly plus the full fixture payload in JSON.
fixtures,/fixtures?league={leagueId}&season={seasonYear},fixture.referee,Referee,"nameEn, nameHe",stored,Referees are normalized into a separate catalog.
standings,/standings?league={leagueId}&season={seasonYear},"rank, all.played, all.win, all.draw, all.lose, all.goals.for, all.goals.against, points, form",Standing,"position, played, wins, draws, losses, goalsFor, goalsAgainst, points, form, teamId, seasonId, competitionId",stored,Primary table standings are saved correctly.
standings,/standings?league={leagueId}&season={seasonYear},"goalsDiff, group, description, status, promotion/relegation metadata, deductions",Standing,"goalsDiff, groupNameEn/He, descriptionEn/He, statusEn/He, additionalInfo",stored,"Richer standing metadata is now stored, with the full row payload preserved in JSON."
